,test_loss
100,175.81047516430638
101,122.29363558079825
102,181.69855129388924
103,50.274962474864125
104,404.96717532601576
105,39.09009965085229
106,222.79416685722936
107,125.4014383910277
108,116.96790509317997
109,227.89356334394904
110,121.37699713912362
111,132.79937586668552
112,137.85787800894923
113,135.21321764001735
114,432.3237048146125
115,140.58506962097522
116,133.34886630307398
117,135.05371581701408
118,127.11057593987483
119,116.96790509318068
120,128.62451789337825
121,139.95007391554753
122,142.62106332928857
123,134.8942436409462
124,367.8773011791692
125,218.59099004599798
126,68.63138778441349
127,140.70644087055004
128,135.0537158170141
129,125.4014383910271
130,153.2662167053689
131,134.00155997620774
132,115.50665397075782
133,173.0944137474342
134,368.7207485991161
135,87.36800557725391
136,160.3822273774353
137,68.63138778441349
138,133.34886630307489
139,222.79416685722933
140,140.02079929061355
141,216.9991107038291
142,338.2141199564487
143,88.63028883656267
144,596.4755548890446
145,401.3319549530836
146,87.368005577253
147,218.590990045998
148,140.58506962097474
149,39.09009965085195
150,420.8364372662513
151,368.329322938422
152,368.86345714135143
153,441.9131631729689
154,661.201011046067
155,596.4755548890445
156,368.72074859911595
157,367.87730117916925
158,432.3237048146125
159,404.96717532601616
160,134.2263940663463
161,135.21651416426567
162,137.98536712316962
163,180.30563850105278
164,441.9131631729688
165,88.63028883656327
166,173.09441374743392
167,134.89424364094629
168,135.21321764001684
169,50.27496247486476
170,119.29539824108876
171,141.92767172329314
172,69.37719731349506
173,137.98536712316962
174,368.8634571413519
175,338.2141199564492
176,115.50665397075764
177,142.62106332928806
178,137.85787800894892
179,181.6985512938895
180,126.19403714062385
181,138.0146239684416
182,141.92767172329332
183,135.21651416426596
184,368.3293229384223
185,216.99911070382902
186,134.0015599762076
187,139.9500739155479
188,132.79937586668527
189,122.29363558079817
190,133.98569195371365
191,126.19403714062422
192,119.29539824108852
193,134.2263940663462
194,420.83643726625166
195,140.02079929061335
196,153.26621670536872
197,128.6245178933779
198,121.3769971391235
199,175.81047516430772
200,108.76369596084605
201,115.51146174754196
202,128.49769969555396
203,42.04978256460817
204,182.052812791101
205,196.4640636678142
206,33.26780070316371
207,122.23936854794329
208,165.17067623744776
209,109.6904341900025
210,155.9180876913426
211,380.1083722581946
212,401.506291039246
213,470.74372509709957
214,799.3576114340481
215,639.8290589493807
216,441.89517491307015
217,349.7874032707108
218,432.26504590192116
219,165.17067623744776
220,126.60816164677483
221,311.44122141774153
222,305.3453225895318
223,652.7373452483308
224,732.4240039002324
225,678.6330090916081
226,597.2876550035604
227,280.9160037644743
228,349.7874032707108
229,122.23936854794279
230,166.05851746519778
231,622.9107659349113
232,375.90503350523363
233,317.33353964219896
234,926.9479358927991
235,598.4037840475812
236,303.59339872211376
237,597.2876550035601
238,441.8951749130699
239,33.267800703163665
240,219.0957697124534
241,694.0518303843834
242,570.4103803447174
243,619.2812195878538
244,931.9398795552213
245,851.7751882954469
246,598.4037840475812
247,678.6330090916084
248,639.829058949381
249,196.4640636678142
250,404.8185324292942
251,781.7921111851356
252,914.6155404974014
253,934.4978751508636
254,1072.2666155933014
255,931.9398795552214
256,926.9479358927993
257,732.4240039002323
258,799.3576114340481
259,182.05281279110093
260,35.08234558590038
261,672.373116875094
262,406.7808547667226
263,328.1025886989555
264,934.4978751508635
265,619.2812195878533
266,317.33353964219896
267,652.7373452483306
268,470.7437250970996
269,42.04978256460786
270,131.98283889065365
271,342.38623666712687
272,341.33608909289535
273,406.7808547667226
274,914.6155404974014
275,570.4103803447175
276,375.9050335052333
277,305.3453225895313
278,401.50629103924626
279,128.49769969555396
280,120.0265681630872
281,339.8115569993285
282,342.3862366671267
283,672.3731168750942
284,781.7921111851351
285,694.0518303843835
286,622.9107659349118
287,311.4412214177413
288,380.1083722581954
289,115.51146174754216
290,189.4666682465753
291,120.02656816308654
292,131.9828388906538
293,35.082345585899986
294,404.81853242929424
295,219.09576971245286
296,166.05851746519795
297,126.60816164677516
298,155.91808769134354
299,108.76369596084513
300,168.41668381305624
301,67.11347783644146
302,75.10077170262288
303,181.36344467037122
304,166.831941881904
305,176.4759108420996
306,79.91149417031875
307,70.00326972428634
308,288.56123010130165
309,78.12151418734096
310,108.09737439344448
311,867.2950766469253
312,703.7437895274772
313,929.6281870156719
314,946.1038628598924
315,937.4009146079171
316,758.7596353013446
317,765.4104593256978
318,839.0216608594526
319,288.56123010130125
320,125.00861396882381
321,923.1041622152965
322,465.76162975775793
323,844.4509138061031
324,1118.9017880545478
325,1230.898392075066
326,742.4273550078767
327,504.5736320511346
328,765.410459325698
329,70.00326972428616
330,139.88455075361333
331,424.43325391121016
332,662.2115751811607
333,742.3599969013935
334,1169.564250182789
335,1236.2908863243204
336,381.07077039827954
337,742.4273550078766
338,758.7596353013447
339,79.91149417031895
340,199.216146302903
341,970.5598891852125
342,815.0101403725332
343,856.7878504011331
344,1209.3176901644472
345,1093.465377585161
346,1236.2908863243204
347,1230.8983920750663
348,937.4009146079171
349,176.47591084209964
350,184.92058830319542
351,1124.2305607444773
352,1057.3301617387506
353,1197.6882440876368
354,1285.5413796379128
355,1209.3176901644474
356,1169.5642501827892
357,1118.9017880545482
358,946.1038628598925
359,166.8319418819046
360,207.69577766745496
361,954.5254386390767
362,759.0991229059223
363,823.7705707455219
364,1197.6882440876368
365,856.7878504011331
366,742.3599969013937
367,844.4509138061027
368,929.6281870156722
369,181.36344467037148
370,133.06703883471275
371,376.516337516612
372,674.8027697951675
373,759.0991229059226
374,1057.3301617387503
375,815.0101403725334
376,662.2115751811606
377,465.7616297577587
378,703.743789527477
379,75.1007717026228
380,338.6267859828873
381,914.5677077126859
382,376.5163375166118
383,954.5254386390764
384,1124.2305607444775
385,970.5598891852128
386,424.4332539112102
387,923.1041622152973
388,867.2950766469245
389,67.11347783644106
390,76.04604462832305
391,338.62678598288693
392,133.06703883471343
393,207.69577766745482
394,184.92058830319513
395,199.21614630290227
396,139.88455075361318
397,125.0086139688234
398,108.09737439344464
399,168.41668381305536
400,66.0728345711623
401,46.641972094272575
402,72.44179576802877
403,192.84858946732584
404,151.85658489455705
405,170.94353692827755
406,82.74038751964093
407,52.63686934528966
408,230.5813058907784
409,87.31613096364502
410,264.5516750062571
411,642.8099148838302
412,673.2468067293946
413,744.6539506007603
414,986.8070244644387
415,755.4022558144131
416,695.000596409685
417,666.3498568176475
418,651.5535704028182
419,230.5813058907779
420,67.13636549640756
421,842.9438644104505
422,897.3734504953619
423,908.6225400218785
424,1031.4999639193672
425,1454.1244351368482
426,880.8197399315932
427,884.2690654504701
428,666.3498568176474
429,52.63686934528998
430,74.48378184846389
431,710.932112492251
432,480.46687581186893
433,752.037613581455
434,1424.2510944794296
435,1345.5595634773897
436,807.2593586715066
437,880.8197399315928
438,695.0005964096846
439,82.74038751964093
440,176.47042199511083
441,912.5402357271937
442,1204.458310761957
443,1307.0679919488005
444,1390.3004038904903
445,1327.1084097924122
446,1345.5595634773897
447,1454.1244351368482
448,755.4022558144129
449,170.94353692827767
450,168.22323421746447
451,935.2825514792803
452,1258.295339565228
453,1181.4811191082986
454,1492.967292095166
455,1390.3004038904903
456,1424.2510944794296
457,1031.4999639193672
458,986.807024464439
459,151.8565848945572
460,82.81983646362964
461,763.0719282055861
462,1170.9225997862245
463,774.6024205537055
464,1181.4811191082986
465,1307.0679919488002
466,752.0376135814554
467,908.6225400218789
468,744.6539506007605
469,192.84858946732592
470,69.91289052149031
471,764.0323825871047
472,509.6431222564767
473,1170.9225997862247
474,1258.295339565228
475,1204.4583107619567
476,480.46687581186893
477,897.3734504953619
478,673.2468067293947
479,72.44179576802915
480,285.95378221654346
481,690.3688108942133
482,764.0323825871043
483,763.0719282055858
484,935.2825514792805
485,912.5402357271932
486,710.9321124922509
487,842.9438644104505
488,642.8099148838295
489,46.641972094272774
490,69.71590658057205
491,285.9537822165439
492,69.9128905214908
493,82.81983646363015
494,168.22323421746447
495,176.4704219951105
496,74.48378184846378
497,67.13636549640704
498,264.55167500625674
499,66.0728345711631
500,75.04528850498606
501,39.978212356522434
502,120.61407213726596
503,169.59200457714613
504,120.91134561279557
505,151.4864227754804
506,155.9877565648255
507,73.23577825559016
508,29.58380642138059
509,75.47007337712495
510,32.9285797096275
511,571.8256847007782
512,609.273454297471
513,617.8824729527373
514,564.4844458342411
515,629.5808642531605
516,627.781096361682
517,625.1977184681673
518,451.12893484774327
519,29.58380642138033
520,245.25837115133467
521,678.5838568071653
522,879.1878338081816
523,723.9707720567235
524,1073.349425305336
525,952.1449697571511
526,654.7992088987381
527,871.0597527984622
528,625.1977184681668
529,73.23577825558934
530,61.48710137957403
531,642.4513779136056
